chembl_id	link_name	link
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL3085056	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL536636	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL462188	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL188164	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL360601	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL189019	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL387855	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL462188	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL227856	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL388806	Antimicrob. Agents Chemother. (2007) 51:4	https://doi.org/10.1128/aac.01537-06
CHEMBL395730	Bioorg. Med. Chem. (2007) 15:3	https://doi.org/10.1016/j.bmc.2006.11.027
CHEMBL847	Bioorg. Med. Chem. (2007) 15:3	https://doi.org/10.1016/j.bmc.2006.11.027
CHEMBL241880	Bioorg. Med. Chem. (2007) 15:3	https://doi.org/10.1016/j.bmc.2006.11.027
CHEMBL395730	Bioorg. Med. Chem. (2007) 15:3	https://doi.org/10.1016/j.bmc.2006.11.027
CHEMBL847	Bioorg. Med. Chem. (2007) 15:3	https://doi.org/10.1016/j.bmc.2006.11.027
CHEMBL241880	Bioorg. Med. Chem. (2007) 15:3	https://doi.org/10.1016/j.bmc.2006.11.027
CHEMBL395730	Bioorg. Med. Chem. (2007) 15:3	https://doi.org/10.1016/j.bmc.2006.11.027
CHEMBL847	Bioorg. Med. Chem. (2007) 15:3	https://doi.org/10.1016/j.bmc.2006.11.027
